Rank,Country,Country Code,Gold,Silver,Bronze,Total,Gold_Percentage,Silver_Percentage,Bronze_Percentage
74,Mongolia,MGL,0,1,0,1,0.0,100.0,0.0
74,Panama,PAN,0,1,0,1,0.0,100.0,0.0
79,Tajikistan,TJK,0,0,3,3,0.0,0.0,100.0
80,Albania,ALB,0,0,2,2,0.0,0.0,100.0
80,Grenada,GRN,0,0,2,2,0.0,0.0,100.0
80,Malaysia,MAS,0,0,2,2,0.0,0.0,100.0
80,Puerto Rico,PUR,0,0,2,2,0.0,0.0,100.0
84,Cape Verde,CPV,0,0,1,1,0.0,0.0,100.0
84,Ivory Coast,CIV,0,0,1,1,0.0,0.0,100.0
84,Refugee Olympic Team,EOR,0,0,1,1,0.0,0.0,100.0
84,Peru,PER,0,0,1,1,0.0,0.0,100.0
84,Qatar,QAT,0,0,1,1,0.0,0.0,100.0
84,Singapore,SIN,0,0,1,1,0.0,0.0,100.0
84,Slovakia,SVK,0,0,1,1,0.0,0.0,100.0
84,Zambia,ZAM,0,0,1,1,0.0,0.0,100.0
